,City,Country,Temperature,Humidity,Cloudiness,Date,Wind Speed,Lat,Lng
44,New Norfolk,AU,10.56,64,100,1603745140,1.03,-42.78,147.06
45,Hong Kong,HK,23.89,79,83,1603744976,0.45,22.29,114.16
46,Makakilo City,US,28.0,69,20,1603745140,2.6,21.35,-158.09
47,Mount Darwin,ZW,23.91,42,0,1603745141,3.43,-16.77,31.58
48,San Martín,AR,28.0,20,0,1603745141,7.2,-33.08,-68.47
49,Longyearbyen,SJ,-3.0,73,75,1603745141,2.6,78.22,15.64
50,Umluj,SA,26.69,54,0,1603745141,1.72,25.02,37.27
51,Jumla,NP,5.25,56,0,1603745141,2.12,29.27,82.18
52,Lebu,CL,12.38,72,100,1603745141,4.03,-37.62,-73.65
53,Sambava,MG,22.1,84,4,1603745142,3.53,-14.27,50.17
54,Dali,CN,13.52,84,13,1603745142,1.17,25.7,100.18
55,Tura,IN,20.62,91,0,1603745142,1.33,25.52,90.22
56,Saint Paul Harbor,US,10.0,46,40,1603745142,7.2,57.79,-152.41
57,Katsuura,JP,16.0,67,20,1603745143,5.7,35.13,140.3
58,Bouna,CI,25.92,48,94,1603745143,1.59,9.27,-3.0
59,Banda Aceh,ID,26.52,73,91,1603745143,5.02,5.56,95.32
60,Tam Ky,VN,25.0,94,75,1603745144,2.1,15.57,108.48
61,San Patricio,US,30.0,84,40,1603745021,8.7,28.02,-97.52
62,Srandakan,ID,24.81,88,100,1603745144,3.23,-7.94,110.25
63,Bestöbe,KZ,7.71,77,82,1603745144,8.13,52.5,73.1
64,Morondava,MG,24.98,72,59,1603745144,4.48,-20.28,44.28
65,Nanortalik,GL,1.16,89,99,1603745145,4.92,60.14,-45.24
66,Shaunavon,CA,-1.58,93,100,1603745038,5.27,49.65,-108.42
67,Malangali,TZ,19.69,65,98,1603745145,4.45,-8.57,34.85
68,Vieux-Habitants,GP,26.0,88,12,1603745145,3.6,16.06,-61.77
69,Kavieng,PG,28.61,67,96,1603745146,2.83,-2.57,150.8
70,Fernie,CA,-4.0,58,90,1603745146,2.6,49.5,-115.07
71,Chase,CA,1.11,87,99,1603745146,0.92,50.82,-119.69
72,Bowen,AU,22.0,94,75,1603745146,1.23,-20.02,148.23
73,Rikitea,PF,24.09,84,100,1603745147,8.47,-23.12,-134.97
74,Ribeira Grande,PT,21.0,88,75,1603745147,8.2,38.52,-28.7
75,Bandarbeyla,SO,24.53,78,54,1603745147,6.72,9.49,50.81
76,Biržai,LT,11.85,87,100,1603745147,5.38,56.2,24.75
77,Airai,TL,15.94,98,83,1603745148,0.92,-8.93,125.41
78,Waipawa,NZ,11.0,100,100,1603745148,9.3,-41.41,175.52
79,Bluff,NZ,11.11,81,75,1603745148,0.45,-46.6,168.33
80,Bulnes,CL,19.0,42,75,1603745148,2.6,-36.74,-72.3
81,Leningradskiy,RU,-3.07,98,100,1603745149,4.02,69.38,178.42
82,Castro,BR,20.96,76,96,1603745149,2.41,-24.79,-50.01
83,Srednekolymsk,RU,-14.4,90,0,1603745149,2.9,67.45,153.68
84,George Town,MY,24.0,94,20,1603745149,1.0,5.41,100.34
85,Birao,CF,24.93,44,81,1603745149,1.47,10.28,22.79
86,Ţahţā,EG,24.0,36,0,1603745150,3.1,26.77,31.5
87,Cherskiy,RU,-15.84,93,33,1603745150,2.43,68.75,161.3
88,Tuktoyaktuk,CA,-13.0,84,75,1603744972,5.1,69.45,-133.04
89,Constitución,CL,14.19,61,50,1603745150,7.15,-35.33,-72.42
90,Hilo,US,25.0,83,90,1603745151,2.1,19.73,-155.09
91,Korla,CN,5.56,83,65,1603745151,0.89,41.76,86.15
92,Sorata,BO,13.98,57,88,1603745151,4.26,-15.77,-68.63
93,Freeport,US,15.0,93,90,1603745067,4.1,40.66,-73.58
94,Mulegé,MX,25.42,52,2,1603745152,8.05,26.88,-111.98
95,Vaini,TO,23.0,88,40,1603745152,4.6,-21.2,-175.2
96,Port Elizabeth,ZA,18.0,88,99,1603745152,9.3,-33.92,25.57
97,Goderich,CA,7.78,86,100,1603745152,5.61,43.75,-81.72
98,Chui,UY,14.35,91,100,1603745153,7.59,-33.7,-53.46
99,Samoded,RU,1.09,92,100,1603745153,4.22,63.61,40.51
100,Mount Gambier,AU,8.0,87,98,1603745016,4.6,-37.83,140.77
101,Bengkulu,ID,23.66,83,100,1603745153,1.54,-3.8,102.27
102,Tazovsky,RU,-18.0,93,4,1603744858,2.97,67.47,78.7
103,Norwich,GB,9.0,87,51,1603745153,4.6,52.63,1.3
104,Christchurch,NZ,10.0,93,100,1603745154,1.0,-43.53,172.63
105,Khovd,MN,-2.18,79,0,1603744970,0.42,48.01,91.64
106,Narasaraopet,IN,22.72,82,0,1603745154,1.46,16.25,80.07
107,Fortuna,US,22.22,21,1,1603744969,6.2,40.6,-124.16
108,Boguchany,RU,-3.57,96,95,1603745154,1.86,58.38,97.45
109,Okhotsk,RU,-2.14,79,0,1603745155,7.38,59.38,143.3
110,Mitsamiouli,KM,25.62,75,8,1603745155,3.59,-11.38,43.28
111,Sapa,PH,27.56,80,100,1603745155,8.3,5.15,120.32
112,Bethel,US,12.22,87,90,1603745156,2.1,41.37,-73.41
113,Port Alfred,ZA,18.8,83,90,1603745156,12.21,-33.59,26.89
114,Mīrābād,AF,13.06,41,0,1603745156,1.45,30.44,61.84
115,Gigmoto,PH,26.45,80,100,1603745156,2.27,13.78,124.39
116,Severo-Kuril'sk,RU,6.25,85,96,1603745157,1.66,50.68,156.12
117,Evensk,RU,-1.04,89,100,1603745157,5.35,61.95,159.23
118,Lębork,PL,12.78,93,75,1603745157,4.6,54.54,17.75
119,Shirochanskoye,RU,13.18,64,100,1603745158,7.59,46.65,38.4
120,Yelets,RU,8.43,79,100,1603745158,2.8,52.62,38.5
121,Elko,US,8.33,20,11,1603745158,2.68,41.0,-115.5
122,Grand Gaube,MU,22.78,75,0,1603745003,2.24,-20.01,57.66
123,Pahrump,US,13.33,9,0,1603745159,7.15,36.21,-115.98
124,San Cristobal,VE,32.0,52,40,1603745159,6.2,7.77,-72.22
125,Duvan,RU,-2.68,93,100,1603745159,7.69,55.7,57.9
126,Puerto Ayora,EC,23.0,69,20,1603745159,8.2,-0.74,-90.35
127,Xapuri,BR,36.0,50,40,1603745159,4.1,-10.65,-68.5
128,Broome,US,13.89,93,90,1603745160,4.1,42.25,-75.83
129,Imbituba,BR,25.0,73,40,1603745160,5.7,-28.24,-48.67
130,Moyobamba,PE,28.02,56,93,1603745160,1.69,-6.05,-76.97
131,Cap Malheureux,MU,22.78,75,0,1603745160,1.79,-19.98,57.61
132,Hobart,AU,11.0,53,75,1603745157,2.1,-42.88,147.33
133,Ashoknagar,IN,21.55,32,0,1603745161,0.7,24.57,77.72
134,Khandyga,RU,-9.98,86,99,1603745161,0.95,62.67,135.6
135,Penzance,GB,10.0,87,46,1603745161,6.7,50.12,-5.54
136,Bambous Virieux,MU,23.0,73,40,1603745161,4.6,-20.34,57.76
137,Oranjemund,NA,14.75,90,2,1603745162,2.25,-28.55,16.43
138,Natchitoches,US,24.0,69,90,1603745162,1.5,31.77,-93.13
139,Copala,MX,29.51,74,100,1603745162,3.73,16.65,-98.98
140,Yellowknife,CA,-4.0,62,75,1603745162,2.6,62.46,-114.35
141,Chokurdakh,RU,-13.56,95,100,1603745003,5.45,70.63,147.92
142,Omboué,GA,24.82,87,74,1603745163,3.27,-1.57,9.26
143,Khorramshahr,IR,19.0,52,0,1603745163,1.0,30.44,48.17
144,Te Anau,NZ,10.69,58,56,1603745163,1.95,-45.42,167.72
145,Belaya Gora,RU,-16.0,88,11,1603745164,2.02,68.53,146.42
146,Itaituba,BR,36.0,50,20,1603745164,0.15,-4.28,-55.98
147,Goba,ET,8.72,73,96,1603745164,1.38,7.02,39.98
148,Nikolskoye,RU,9.0,81,90,1603745164,2.0,59.7,30.79
149,Arman',RU,0.08,88,88,1603745164,5.56,59.7,150.17
150,Ugoofaaru,MV,27.72,77,46,1603745018,4.03,5.67,73.0
151,Sungai Penuh,ID,18.43,87,100,1603745165,0.54,-2.08,101.38
152,Pisco,PE,22.0,64,0,1603745165,4.6,-13.7,-76.22
153,Cidreira,BR,20.47,94,100,1603744972,3.35,-30.18,-50.21
154,Egvekinot,RU,-5.48,96,100,1603745165,1.63,66.32,-179.17
155,Saskylakh,RU,-16.64,92,94,1603745166,2.59,71.92,114.08
156,Barentu,ER,25.05,38,0,1603745166,1.38,15.11,37.59
157,Hamilton,US,10.0,81,90,1603745166,2.6,39.18,-84.53
158,Kaitangata,NZ,11.67,77,99,1603745006,1.34,-46.28,169.85
159,Viedma,AR,27.78,12,5,1603745146,4.02,-40.81,-63.0
160,Nhulunbuy,AU,26.0,88,75,1603745167,1.5,-12.23,136.77
161,Lodja,CD,21.69,95,64,1603745167,0.07,-3.48,23.43
162,Saint-Philippe,RE,22.0,78,90,1603745167,2.1,-21.36,55.77
163,Sinnamary,GF,27.96,78,1,1603745167,4.39,5.38,-52.95
164,Natal,BR,28.0,78,40,1603744940,4.1,-5.79,-35.21
165,Lixouri,GR,17.89,64,0,1603745168,0.61,38.2,20.43
166,Santo Antônio do Içá,BR,32.85,59,70,1603745168,0.61,-3.1,-67.94
167,Tasiilaq,GL,1.0,50,100,1603745168,9.3,65.61,-37.64
168,Sheltozero,RU,6.15,91,100,1603745168,4.83,61.37,35.37
169,Camopi,GF,27.5,73,68,1603745169,2.22,3.17,-52.32
170,Ilulissat,GL,-7.0,73,75,1603744975,2.1,69.22,-51.1
171,Stornoway,GB,8.0,93,40,1603745169,6.2,58.21,-6.39
172,Kaseda-shirakame,JP,17.04,74,0,1603745169,1.68,31.42,130.32
173,Yining,CN,13.83,80,43,1603745170,0.17,29.04,114.56
174,Lata,PT,11.67,85,96,1603745170,0.45,40.16,-8.33
175,Carroll,US,15.0,93,75,1603745170,0.94,39.55,-77.02
176,Laurel,US,17.78,82,75,1603745100,0.12,39.1,-76.85
177,Atuona,PF,26.08,75,88,1603745170,9.59,-9.8,-139.03
178,Norman Wells,CA,-4.0,85,90,1603745170,6.7,65.28,-126.83
179,Kralendijk,BQ,31.0,66,75,1603745171,7.2,12.15,-68.27
180,Guerrero Negro,MX,23.36,47,2,1603745171,8.86,27.98,-114.06
181,Kulhudhuffushi,MV,27.88,76,39,1603745171,3.2,6.62,73.07
182,Zhuhai,CN,24.0,83,20,1603745171,6.7,22.28,113.57
183,Santiago del Estero,AR,28.26,15,0,1603745171,5.32,-27.8,-64.26
184,Saldanha,ZA,17.0,82,16,1603745172,1.5,-33.01,17.94
185,Coyhaique,CL,13.0,43,40,1603745172,5.1,-45.58,-72.07
186,Tocopilla,CL,19.3,51,25,1603744913,3.23,-22.09,-70.2
187,Mehamn,NO,0.0,84,0,1603745172,7.2,71.04,27.85
188,Arlit,NE,26.8,15,0,1603745172,4.44,18.74,7.39
189,Meulaboh,ID,24.62,87,99,1603745173,2.03,4.14,96.13
190,Piaçabuçu,BR,25.87,77,0,1603745173,9.48,-10.41,-36.43
191,Mahébourg,MU,23.0,73,40,1603745173,4.6,-20.41,57.7
192,Deputatsky,RU,-17.98,88,72,1603745173,1.19,69.3,139.9
193,At-Bashi,KG,1.9,71,100,1603745173,1.64,41.17,75.81
194,Shihezi,CN,3.83,67,0,1603745174,0.65,44.3,86.03
195,Alta Floresta,BR,24.96,83,96,1603745174,0.95,-9.88,-56.09
196,Badarwās,IN,20.82,31,0,1603745174,0.49,24.97,77.57
197,Souillac,MU,23.0,73,40,1603745174,4.6,-20.52,57.52
198,Alpine,US,22.22,35,20,1603745175,3.1,32.84,-116.77
199,Ginir,ET,13.9,85,88,1603745175,1.96,7.13,40.7
200,Ahipara,NZ,19.13,79,24,1603745175,2.28,-35.17,173.17
201,Nouadhibou,MR,25.0,57,0,1603745175,7.2,20.93,-17.03
202,Cairns,AU,24.0,69,40,1603745176,1.5,-16.92,145.77
203,Cianjur,ID,22.12,87,100,1603745176,1.88,-6.82,107.14
204,Pedernales,DO,31.0,79,40,1603745176,6.2,18.04,-71.74
205,Goundam,ML,30.64,12,0,1603745176,4.14,16.41,-3.67
206,Kerman,IR,8.0,22,0,1603745176,2.1,30.28,57.08
207,Tiksi,RU,-14.32,94,99,1603745176,3.53,71.69,128.87
208,Dikson,RU,-11.39,95,99,1603745177,6.95,73.51,80.55
209,Nemuro,JP,9.68,77,41,1603745177,4.0,43.32,145.57
210,Khatanga,RU,-16.63,94,84,1603745177,4.09,71.97,102.5
211,Matagami,CA,-4.0,92,90,1603745177,5.1,49.75,-77.63
212,Coquimbo,CL,17.0,67,0,1603744996,5.7,-29.95,-71.34
213,Moncada,ES,16.0,46,0,1603745102,1.5,39.55,-0.4
214,Muros,ES,11.67,94,100,1603745178,5.2,42.78,-9.06
215,Salinópolis,BR,27.84,76,30,1603745178,5.39,-0.61,-47.36
216,San Antero,CO,28.23,79,47,1603745178,3.85,9.37,-75.76
217,Poum,NC,24.62,76,0,1603745178,6.14,-20.23,164.02
218,Torrevieja,ES,17.22,45,1,1603745178,3.58,37.98,-0.68
219,Thompson,CA,-1.0,50,40,1603745179,5.7,55.74,-97.86
220,Los Llanos de Aridane,ES,21.0,64,20,1603745179,4.1,28.66,-17.92
221,Benguela,AO,24.22,78,100,1603745179,2.47,-12.58,13.41
222,Cauquenes,CL,18.78,43,93,1603745179,2.72,-35.97,-72.32
223,Laguna,US,21.67,8,1,1603745180,9.3,38.42,-121.42
224,Kaputa,ZM,25.16,60,92,1603745180,0.73,-8.47,29.66
225,Homer,US,6.67,75,90,1603745180,9.8,59.64,-151.55
226,Baculin,PH,26.12,75,100,1603745181,1.57,7.45,126.58
227,Chipiona,ES,15.0,58,0,1603745181,2.6,36.74,-6.44
228,Roscommon,IE,6.11,91,80,1603745181,4.47,53.63,-8.18
229,Ambilobe,MG,22.59,73,10,1603745181,1.98,-13.2,49.05
230,Port Hardy,CA,7.0,100,90,1603745181,3.6,50.7,-127.42
231,Oskaloosa,US,1.0,74,90,1603745182,4.1,41.3,-92.64
232,Gemeinde Friedland,DE,8.89,84,100,1603745182,1.79,51.42,9.93
233,Kaeo,NZ,18.33,94,25,1603745182,1.75,-35.1,173.78
234,Ponta do Sol,PT,19.0,77,40,1603745182,4.6,32.67,-17.1
235,Ketchikan,US,11.0,100,90,1603745183,6.2,55.34,-131.65
236,Gbadolite,CD,22.5,94,100,1603745183,1.23,4.28,21.02
237,Sechura,PE,23.91,59,42,1603745183,7.38,-5.56,-80.82
238,Chipinge,ZW,18.62,53,0,1603745183,3.79,-20.19,32.62
239,Mahanoro,MG,20.8,79,15,1603745183,1.03,-19.9,48.8
240,Auki,SB,27.69,77,72,1603745009,0.66,-8.77,160.7
241,Provideniya,RU,-1.0,74,90,1603745184,0.57,64.38,-173.3
242,Sur,OM,21.45,63,0,1603745184,1.3,22.57,59.53
243,Vung Tau,VN,25.76,82,100,1603745184,5.14,10.35,107.08
244,La Orilla,MX,29.17,76,100,1603745022,3.61,17.98,-102.23
245,Ionia,US,5.56,65,90,1603745147,3.1,42.99,-85.07
246,Faya,SA,18.0,17,0,1603745185,1.5,18.39,42.45
247,Lesosibirsk,RU,-1.88,97,97,1603745185,2.44,58.24,92.48
248,Douglas,US,0.0,88,1,1603745029,2.6,41.3,-96.17
249,Ville-Marie,CA,-1.0,80,90,1603745185,4.6,47.33,-79.43
250,Buraidah,SA,21.0,23,0,1603745186,2.65,26.33,43.98
251,Emet,TR,13.08,57,0,1603745186,0.49,39.34,29.26
252,Mananara,MG,20.65,85,23,1603745186,1.76,-16.17,49.77
253,Cayenne,GF,28.0,78,40,1603745186,3.6,4.93,-52.33
254,Lüderitz,NA,16.93,69,0,1603745187,5.4,-26.65,15.16
255,Batagay-Alyta,RU,-13.49,86,100,1603745028,0.85,67.8,130.41
256,Black River,JM,30.0,66,75,1603745187,2.1,18.03,-77.85
257,Lakatoro,VU,25.0,88,75,1603745187,3.1,-16.1,167.42
258,Half Moon Bay,US,22.0,7,1,1603745007,6.7,37.46,-122.43
259,Santa Maria da Vitória,BR,26.97,56,62,1603745167,1.21,-13.39,-44.19
260,Durango,MX,26.0,23,0,1603745179,4.03,24.83,-104.83
261,Tanete,ID,23.38,90,100,1603745188,0.68,-3.94,119.78
262,São João da Barra,BR,23.0,94,75,1603745188,2.1,-21.64,-41.05
263,Bitung,ID,23.0,94,20,1603745188,1.0,1.45,125.18
264,Bereket,TM,17.99,27,100,1603745189,2.63,39.24,55.52
265,Vardø,NO,2.0,93,75,1603745189,9.8,70.37,31.11
266,Sorong,ID,24.89,83,100,1603745189,2.94,-0.88,131.25
267,Hervey Bay,AU,23.89,93,97,1603745189,1.34,-25.3,152.85
268,Mitrovice,XK,11.11,87,0,1603745189,1.15,42.88,20.87
269,Suşehri,TR,14.29,34,0,1603745190,1.27,40.16,38.09
270,Bilibino,RU,-14.41,93,99,1603745190,1.16,68.05,166.44
271,Svetlaya,RU,4.21,71,0,1603745190,2.01,46.54,138.33
272,Pithora,IN,20.64,69,0,1603745190,1.5,21.27,82.52
273,Roald,NO,8.0,87,75,1603745191,1.5,62.58,6.13
274,Noumea,NC,25.56,64,0,1603745191,1.0,-22.28,166.46
275,Eureka,US,22.78,25,1,1603745191,5.7,40.8,-124.16
276,Swellendam,ZA,18.0,82,65,1603745191,6.7,-34.02,20.44
277,Chandauli,IN,20.52,41,0,1603745192,2.27,25.27,83.27
278,Abbeville,FR,8.89,81,74,1603745192,4.93,50.1,1.83
279,Chumikan,RU,-0.87,85,64,1603745192,0.58,54.72,135.31
280,Port Montt,CL,10.0,93,90,1603744895,7.7,-41.47,-72.94
281,Opuwo,NA,19.18,44,25,1603745192,2.23,-18.06,13.84
282,Santa Maria do Suaçuí,BR,23.03,78,2,1603745193,0.69,-18.19,-42.41
283,Lubbock,US,-3.0,86,90,1603745052,7.2,33.6,-101.83
284,Lethem,GY,33.37,46,96,1603745193,2.42,3.38,-59.8
285,Khvoynaya,RU,6.74,89,99,1603745193,4.06,58.9,34.53
286,Fort Nelson,CA,-1.0,92,90,1603745194,2.6,58.81,-122.7
287,Derzhavīnsk,KZ,1.26,90,98,1603745194,9.19,51.1,66.32
288,Gazli,UZ,10.47,44,16,1603745194,1.8,40.13,63.45
289,Buluang,PH,24.81,90,100,1603745194,2.46,13.31,123.34
290,Pevek,RU,-4.6,93,98,1603745194,5.68,69.7,170.31
291,Iqaluit,CA,-10.0,78,75,1603745009,1.5,63.75,-68.51
292,Novobirilyussy,RU,2.06,97,100,1603745195,2.17,56.95,90.67
293,Teguise,ES,22.0,78,40,1603745195,7.2,29.06,-13.56
294,Aborlan,PH,26.02,83,100,1603745195,7.26,9.44,118.55
295,Tumsar,IN,22.23,72,50,1603745195,0.72,21.38,79.73
296,Mana,GF,27.99,77,40,1603745195,4.32,5.66,-53.78
297,Richards Bay,ZA,20.04,80,100,1603745196,1.04,-28.78,32.04
298,Anaco,VE,26.14,87,88,1603745071,2.26,9.44,-64.47
299,Aksarka,RU,-15.47,95,65,1603745011,3.45,66.56,67.8
300,Faanui,PF,26.74,77,78,1603745196,7.2,-16.48,-151.75
301,Hailey,US,2.22,34,5,1603745196,5.1,43.52,-114.32
302,Ostrovnoy,RU,4.03,93,100,1603745197,12.88,68.05,39.51
303,Priozyornoye,UA,17.66,73,91,1603745197,4.96,45.27,36.33
304,Baghdad,IQ,19.0,39,0,1603745132,2.1,33.34,44.4
305,Mthatha,ZA,15.0,93,100,1603745197,5.1,-31.59,28.78
306,Chilca,PE,20.56,72,20,1603745197,5.7,-12.52,-76.74
307,Altamira,BR,34.0,49,40,1603745198,1.5,-3.2,-52.21
308,Takoradze,GH,25.57,87,100,1603745198,2.89,4.88,-1.76
309,Inta,RU,-10.43,92,0,1603745198,2.19,66.03,60.17
310,Coracora,PE,16.5,32,47,1603745198,5.28,-15.03,-73.78
311,Kalghatgi,IN,21.85,76,0,1603745199,1.24,15.18,74.97
312,Ashland,US,7.22,100,90,1603745152,3.6,40.82,-82.27
313,Ust'-Omchug,RU,-9.45,93,26,1603745199,2.25,61.15,149.63
314,Port Lincoln,AU,12.96,87,1,1603745199,3.66,-34.73,135.87
315,Bulungu,CD,20.81,97,36,1603745199,0.88,-4.55,18.6
316,Guarapari,BR,25.0,73,40,1603745199,7.7,-20.67,-40.5
317,Mahon,ES,12.0,81,0,1603745200,1.5,39.89,4.27
318,Ongandjera,NA,25.84,26,25,1603745200,5.2,-17.88,15.07
319,Wamba,NG,24.14,60,32,1603745200,1.08,8.93,8.6
320,Ust-Kuyga,RU,-18.78,87,99,1603745200,1.38,70.02,135.6
321,Praia da Vitória,PT,21.0,77,40,1603745201,4.5,38.73,-27.07
322,Genhe,CN,-0.55,97,100,1603745201,4.24,50.78,121.52
323,Kumul,CN,2.73,68,100,1603745201,1.53,42.8,93.45
324,Coahuayana Viejo,MX,29.0,70,40,1603745012,5.1,18.73,-103.68
325,Calmar,CA,4.0,44,75,1603745201,4.6,53.27,-113.82
326,Rome,US,9.0,87,90,1603744924,2.6,43.21,-75.46
327,Yangi Marg`ilon,UZ,10.0,53,0,1603745019,3.1,40.43,71.72
328,Lorengau,PG,27.01,79,100,1603745202,2.44,-2.02,147.27
329,Asău,RO,10.56,98,4,1603745202,1.33,46.43,26.4
330,Yar-Sale,RU,-13.63,95,63,1603745202,2.85,66.83,70.83
331,Wajima,JP,14.9,56,39,1603745202,1.98,37.4,136.9
332,Byron Bay,AU,20.0,77,90,1603744984,5.1,-28.65,153.62
333,Ponta Delgada,PT,20.0,77,20,1603745092,8.2,37.73,-25.67
334,Port Shepstone,ZA,18.36,85,62,1603745203,1.61,-30.74,30.45
335,Russell,US,27.0,61,75,1603745203,2.6,32.35,-85.2
336,Pacific Grove,US,22.0,9,1,1603745175,3.1,36.62,-121.92
337,Boca do Acre,BR,31.29,56,100,1603745204,0.78,-8.75,-67.4
338,Şarkîkaraağaç,TR,14.68,46,100,1603745204,1.85,38.08,31.37
339,Nampula,MZ,24.0,73,0,1603745204,4.6,-15.12,39.27
340,San Quintín,MX,20.88,47,15,1603745204,5.08,30.48,-115.95
341,Santa Fe,AR,24.44,34,0,1603744921,1.79,-31.63,-60.7
342,Antofagasta,CL,16.0,72,40,1603744922,6.2,-23.65,-70.4
343,Cap-aux-Meules,CA,2.0,72,90,1603745205,2.1,47.38,-61.86
344,Sherlovaya Gora,RU,-6.88,92,0,1603745205,6.8,50.57,116.25
345,San Francisco,US,22.78,21,20,1603745160,2.1,37.77,-122.42
346,Shenjiamen,CN,18.14,68,0,1603745205,2.37,29.96,122.3
347,Dhupgāri,IN,21.0,94,40,1603745206,1.44,26.59,89.01
348,Beira,MZ,25.0,88,20,1603745003,5.1,-19.84,34.84
349,Kodīnar,IN,26.49,49,0,1603745206,3.42,20.79,70.7
350,Horizontina,BR,21.11,88,52,1603745096,0.45,-27.63,-54.31
351,Fria,GN,22.78,94,16,1603745207,0.44,10.42,-13.58
352,Tongren,CN,15.98,77,74,1603745207,0.71,27.72,109.19
353,Masvingo,ZW,21.34,44,0,1603745207,4.51,-20.06,30.83
354,Machinga,MW,23.57,54,54,1603745207,3.15,-15.17,35.3
355,Soyo,AO,25.03,85,83,1603745207,3.76,-6.13,12.37
356,Kalmunai,LK,26.36,79,70,1603745208,1.39,7.42,81.82
357,Padang,ID,25.61,71,99,1603744981,1.2,-0.95,100.35
358,Itaberaba,BR,27.88,62,100,1603745208,2.03,-12.53,-40.31
359,Clyde River,CA,-11.38,87,12,1603745208,2.17,70.47,-68.59
360,Onda,ES,16.11,46,0,1603745209,1.5,39.97,-0.25
361,Laas,IT,9.44,64,90,1603745209,2.6,46.62,10.7
362,Kenitra,MA,16.0,82,75,1603745076,2.89,34.26,-6.58
363,Saint Anthony,US,0.0,91,40,1603745209,2.1,45.02,-93.22
364,Les Escoumins,CA,-1.14,99,100,1603745209,3.99,48.11,-69.02
365,Reconquista,AR,23.4,56,0,1603745209,3.65,-29.15,-59.65
366,Tuatapere,NZ,11.11,81,91,1603745017,0.45,-46.13,167.68
367,Beringovskiy,RU,-0.19,91,0,1603745210,1.31,63.05,179.32
368,Maputo,MZ,24.0,83,75,1603744938,6.2,-25.97,32.59
369,Ormara,PK,24.53,49,0,1603745210,3.15,25.21,64.64
370,Dakar,SN,28.0,78,3,1603745210,2.1,14.69,-17.44
371,Kensington,AU,16.0,82,75,1603745210,10.3,-33.92,151.22
